"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Основная функциональность","0","Конструктор","2","0","Переход по клику на 'Лента заказов'","0"
"0","Лента заказов","0","Счётчики","2","0","Номер заказа появляется в разделе 'В работе'","0"
"0","Основная функциональность","0","Конструктор","2","0","Счётчик ингредиента увеличивается при добавлении","0"
"0","Основная функциональность","0","Конструктор","2","0","Закрытие модального окна по крестику","0"
"0","Основная функциональность","0","Конструктор","2","0","Клик по ингредиенту — открывается модальное окно","0"
"0","Основная функциональность","0","Конструктор","2","0","Переход по клику на 'Конструктор'","0"
"0","Лента заказов","0","Счётчики","2","0","Счётчик 'Выполнено за всё время' увеличивается","0"
"0","Лента заказов","0","Счётчики","2","0","Счётчик 'Выполнено за сегодня' увеличивается","0"
